date,category,sub_category,product,price,quantity,total_sales
2025-12-01,electronics,none,laptop,60000,2,120000
2025-12-02,electronics,none,mobile,25000,4,100000
2025-12-03,electronics,none,headphones,2500,10,25000
2025-12-04,electronics,none,smartwatch,15000,3,45000
2025-12-05,electronics,none,laptop,62000,1,62000
2025-12-06,electronics,none,mobile,24000,5,120000
2025-12-07,electronics,none,headphones,2600,8,20800
2025-12-08,electronics,none,smartwatch,15500,2,31000
2025-12-09,electronics,none,laptop,61000,3,183000
2025-12-10,electronics,none,mobile,25500,2,51000
2025-12-11,electronics,none,headphones,2400,12,28800
2025-12-12,electronics,none,smartwatch,15000,4,60000
