date,category,sub_category,product,price,quantity,total_sales
2025-06-18,clothes,women,suits,53086,27,1433322
2025-04-20,electronics,none,mobile,30632,25,765800
2025-03-03,stationary,none,pencil,58569,23,1347087
2025-02-18,supermarket,none,tea,14311,2,28622
2025-11-16,supermarket,none,cooking oil,2127,5,10635
2025-01-15,electronics,none,smartwatch,26082,11,286902
2025-05-17,supermarket,none,cooking oil,24267,8,194136
2025-01-23,stationary,none,pencil,24810,29,719490
2025-06-22,electronics,none,smartwatch,51219,13,665847
2025-02-07,clothes,men,shirt,5806,6,34836
2025-11-10,stationary,none,page-folder,17569,27,474363
2025-06-09,clothes,men,shirt,51883,11,570713
2025-08-08,clothes,men,trouser,56999,3,170997
2025-04-28,clothes,women,top,11252,16,180032
2025-11-18,stationary,none,pencil,59579,19,1132001
2025-03-27,clothes,men,shirt,29461,16,471376
2025-03-10,electronics,none,mobile,57473,13,747149
2025-04-05,clothes,men,trouser,591,38,22458
2025-06-11,stationary,none,pencil,33671,22,740762
2025-01-20,stationary,none,pencil,12544,30,376320
2025-02-25,electronics,none,smartwatch,35786,3,107358
2025-02-10,electronics,none,laptop,35602,23,818846
2025-06-23,stationary,none,notebook,33460,24,803040
2025-10-12,supermarket,none,rice,4164,37,154068
2025-01-23,clothes,women,top,20672,18,372096
2025-12-02,supermarket,none,rice,56514,1,56514
2025-03-24,stationary,none,page-folder,8154,10,81540
2025-07-01,stationary,none,page-folder,43787,31,1357397
2025-05-29,clothes,men,shirt,17556,6,105336
2025-03-25,electronics,none,smartwatch,933,35,32655
2025-05-31,supermarket,none,bread,26663,29,773227
2025-02-07,supermarket,none,bread,42418,3,127254
2025-02-05,electronics,none,mobile,11419,25,285475
2025-08-15,supermarket,none,cooking oil,30319,30,909570
2025-12-23,supermarket,none,rice,20801,23,478423
2025-08-10,clothes,women,top,53616,25,1340400
2025-02-13,clothes,men,trouser,3575,1,3575
2025-07-23,clothes,men,trouser,35542,21,746382
2025-02-08,clothes,women,suits,41632,27,1124064
2025-05-01,electronics,none,smartwatch,10139,10,101390
2025-05-10,clothes,men,trouser,59623,15,894345
2025-09-05,supermarket,none,rice,6221,34,211514
2025-07-01,stationary,none,pencil,5770,5,28850
2025-02-24,electronics,none,headphones,48910,5,244550
2025-08-13,clothes,men,trouser,30664,5,153320
2025-10-16,clothes,women,top,27495,8,219960
2025-12-08,supermarket,none,bread,29543,32,945376
2025-02-12,stationary,none,pencil,49775,20,995500
2025-01-08,clothes,men,shirt,42396,26,1102296
2025-07-06,electronics,none,headphones,46232,1,46232
2025-08-01,stationary,none,notebook,58468,13,760084
2025-12-12,supermarket,none,cooking oil,33624,5,168120
2025-07-24,clothes,men,shirt,205,36,7380
2025-08-30,electronics,none,mobile,57104,30,1713120
2025-09-19,clothes,men,shirt,42186,29,1223394
2025-11-01,supermarket,none,tea,54664,20,1093280
2025-05-19,clothes,women,suits,48169,2,96338
2025-03-04,clothes,women,top,37382,35,1308370
2025-02-12,stationary,none,page-folder,4466,39,174174
2025-09-26,stationary,none,pen,40434,7,283038
2025-01-19,electronics,none,smartwatch,28526,25,713150
2025-09-18,clothes,women,top,12364,21,259644
2025-12-29,electronics,none,mobile,9798,40,391920
2025-05-29,supermarket,none,cooking oil,51977,21,1091517
2025-06-26,electronics,none,laptop,15001,29,435029
2025-07-03,stationary,none,pencil,26041,24,624984
2025-10-21,supermarket,none,bread,49300,38,1873400
2025-05-19,electronics,none,smartwatch,49322,27,1331694
2025-07-29,stationary,none,page-folder,29074,39,1133886
2025-02-05,stationary,none,page-folder,6625,15,99375
2025-05-03,electronics,none,headphones,23082,25,577050
2025-10-16,electronics,none,headphones,55904,36,2012544
